Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
2,0,Seperate,0.1,0.1,0,0.2002281489999973
2,1,Seperate,0.1,0.1,1,0.2620589510000002
2,2,Seperate,0.1,0.07943282347242815,1,0.34150527299999567
2,3,Seperate,0.1,0.06309573444801932,1,0.22440166800001293
2,4,Seperate,0.1,0.05011872336272722,1,0.22451873800000044
2,5,Seperate,0.1,0.03981071705534971,1,0.23664067800001476
2,6,Seperate,0.1,0.031622776601683784,1,0.14257500400000822
2,7,Seperate,0.1,0.02511886431509579,1,0.225859354999983
2,8,Seperate,0.1,0.01995262314968879,0,0.34115540700000224
2,9,Seperate_null,0.1,0.1,1,0.4004946480000058
2,10,Seperate,0.1,0.025118864315095794,1,0.2206694220000145
2,11,Seperate,0.1,0.01995262314968879,1,0.21642766200000096
2,12,Seperate_null,0.1,0.07943282347242815,1,0.3419946890000176
2,13,Seperate,0.1,0.015848931924611127,1,0.18374202800001171
2,14,Seperate,0.1,0.012589254117941666,1,0.34795321400000034
2,15,Seperate,0.1,0.009999999999999995,1,0.3487856289999911
2,16,Seperate,0.1,0.00794328234724281,0,0.2965851809999833
2,17,Seperate,0.1,0.009999999999999995,0,0.36866471299998693
2,18,Seperate,0.1,0.012589254117941666,0,0.451694649999979
2,19,Seperate,0.1,0.015848931924611127,1,0.25435803100000953
2,20,Seperate_null,0.1,0.06309573444801932,1,0.3523457189999988
2,21,Seperate,0.1,0.012589254117941666,0,0.3388001350000138
2,22,Seperate,0.1,0.015848931924611127,1,0.28577973299999826
2,23,Seperate,0.1,0.012589254117941666,0,0.3686043520000055
2,24,Seperate,0.1,0.015848931924611127,0,0.36409003599999323
2,25,Seperate,0.1,0.01995262314968879,0,0.24026389900001277
2,26,Seperate,0.1,0.025118864315095794,1,0.2284143740000104
2,27,Seperate,0.1,0.01995262314968879,1,0.19313407600000687
2,28,Seperate,0.1,0.015848931924611127,0,0.1872884970000257
2,29,Seperate,0.1,0.01995262314968879,1,0.2384789140000123
2,30,Seperate,0.1,0.015848931924611127,1,0.2870501509999883
2,31,Seperate,0.1,0.012589254117941666,0,0.29868069000002606
2,32,Seperate,0.1,0.015848931924611127,1,0.4510774820000165
2,33,Seperate,0.1,0.012589254117941666,1,0.501915849999989
2,34,Seperate,0.1,0.009999999999999995,0,0.25734596199998805
2,35,Seperate,0.1,0.012589254117941666,1,0.30859309999999596
2,36,Seperate,0.1,0.009999999999999995,1,0.279613329
2,37,Seperate,0.1,0.00794328234724281,1,0.227463073999985
2,38,Seperate,0.1,0.0063095734448019285,0,0.31070141200001444
2,39,Seperate,0.1,0.00794328234724281,1,0.3711348709999811
2,40,Seperate,0.1,0.0063095734448019285,0,0.4052387150000527
2,41,Seperate,0.1,0.00794328234724281,0,0.28824610699996356
2,42,Seperate,0.1,0.009999999999999995,1,0.42562917599997263
2,43,Seperate,0.1,0.00794328234724281,0,0.36429463400003215
2,44,Seperate,0.1,0.009999999999999995,1,0.24734968100000287
2,45,Seperate,0.1,0.00794328234724281,1,0.33938659099999313
2,46,Seperate,0.1,0.0063095734448019285,0,0.38216030600000295
2,47,Seperate,0.1,0.00794328234724281,1,0.30566912899996623
2,48,Seperate,0.1,0.0063095734448019285,1,0.3406996350000213
2,49,Seperate,0.1,0.005011872336272719,0,0.4572484599999598
2,50,Seperate,0.1,0.0063095734448019285,0,0.3658398009999928
2,51,Seperate,0.1,0.00794328234724281,0,0.21523923700004843
2,52,Seperate,0.1,0.009999999999999995,1,0.17852362500002528
2,53,Seperate,0.1,0.00794328234724281,1,0.3073088439999765
2,54,Seperate,0.1,0.0063095734448019285,1,0.41489406099998405
2,55,Seperate,0.1,0.005011872336272719,0,0.43098557399997617
2,56,Seperate,0.1,0.0063095734448019285,0,0.37816978300003257
2,57,Seperate,0.1,0.00794328234724281,0,0.31777035400000386
2,58,Seperate,0.1,0.009999999999999995,0,0.37675375800000666
2,59,Seperate,0.1,0.012589254117941666,1,0.204211991999955
2,60,Seperate,0.1,0.009999999999999995,0,0.3164893879999795
2,61,Seperate,0.1,0.012589254117941666,1,0.2935921920000055
2,62,Seperate,0.1,0.009999999999999995,1,0.28882176799999115
2,63,Seperate,0.1,0.00794328234724281,1,0.3531916670000328
2,64,Seperate,0.1,0.0063095734448019285,0,0.4926441529999579
2,65,Seperate,0.1,0.00794328234724281,1,0.4246313760000362
2,66,Seperate,0.1,0.0063095734448019285,1,0.3613969950000069
2,67,Seperate,0.1,0.005011872336272719,0,0.34085150000004205
2,68,Seperate_null,0.1,0.05011872336272722,1,0.38394853800002693
2,69,Seperate,0.1,0.0063095734448019285,0,0.4423192759999779
2,70,Seperate,0.1,0.00794328234724281,0,0.39047355600001765
2,71,Seperate,0.1,0.009999999999999995,1,0.3293103430000315
2,72,Seperate,0.1,0.00794328234724281,1,0.41386612899998454
2,73,Seperate,0.1,0.0063095734448019285,0,0.4107300599999917
2,74,Seperate,0.1,0.00794328234724281,0,0.38040358099999594
2,75,Seperate,0.1,0.009999999999999995,1,0.36779182200001515
2,76,Seperate,0.1,0.00794328234724281,1,0.3517446000000177
2,77,Seperate,0.1,0.0063095734448019285,0,0.25979577599997583
2,78,Seperate,0.1,0.00794328234724281,1,0.27079961199996205
2,79,Seperate_null,0.1,0.03981071705534971,1,0.2876058340000327
2,80,Seperate,0.1,0.0063095734448019285,0,0.4324779879999596
2,81,Seperate,0.1,0.00794328234724281,0,0.21154558099999576
2,82,Seperate_null,0.1,0.031622776601683784,1,0.34357953699998234
2,83,Seperate,0.1,0.009999999999999995,1,0.40370408300003646
2,84,Seperate,0.1,0.00794328234724281,0,0.32625346300000047
2,85,Seperate,0.1,0.009999999999999995,1,0.2895472270000141
2,86,Seperate,0.1,0.00794328234724281,1,0.29217229600004657
2,87,Seperate_null,0.1,0.02511886431509579,1,0.2932833970000388
2,88,Seperate,0.1,0.0063095734448019285,0,0.3047396580000168
2,89,Seperate,0.1,0.00794328234724281,1,0.4174599489999764
2,90,Seperate,0.1,0.0063095734448019285,0,0.4929962309999496
