Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
3,0,Together,0.1,0.1,1,0.5018128050005544
3,1,Together,0.1,0.07943282347242815,1,0.5652859779993378
3,2,Together,0.1,0.06309573444801932,1,0.3589963530002933
3,3,Together,0.1,0.05011872336272722,1,0.48747956300030637
3,4,Together,0.1,0.03981071705534971,1,0.4209210709996114
3,5,Together,0.1,0.031622776601683784,1,0.42133250100050645
3,6,Together,0.1,0.02511886431509579,1,0.418177698999898
3,7,Together,0.1,0.01995262314968879,1,0.3865147349997642
3,8,Together,0.1,0.015848931924611127,1,0.4339644520005095
3,9,Together_null,0.1,0.1,1,0.367706659999385
3,10,Together,0.1,0.012589254117941666,1,0.4004713249996712
3,11,Together,0.1,0.009999999999999995,1,0.4639183529998263
3,12,Together,0.1,0.00794328234724281,1,0.41594833199997083
3,13,Together,0.1,0.0063095734448019285,0,0.5994428540006993
3,14,Together,0.1,0.00794328234724281,0,0.5918221000001722
3,15,Together,0.1,0.009999999999999995,0,0.5922873509998681
3,16,Together,0.1,0.012589254117941666,1,0.5276960390001477
3,17,Together,0.1,0.009999999999999995,0,0.569763039999998
3,18,Together,0.1,0.012589254117941666,0,0.6588918370007377
3,19,Together,0.1,0.015848931924611127,1,0.4310174590000315
3,20,Together,0.1,0.012589254117941666,0,0.3538635949998934
3,21,Together_null,0.1,0.07943282347242815,1,0.49492272600036813
3,22,Together,0.1,0.015848931924611127,0,0.41554648600049404
3,23,Together,0.1,0.01995262314968879,1,0.5270262650001314
3,24,Together,0.1,0.015848931924611127,0,0.6229272789996685
3,25,Together,0.1,0.01995262314968879,1,0.47868409999955475
3,26,Together,0.1,0.015848931924611127,1,0.3671396769996136
3,27,Together,0.1,0.012589254117941666,0,99
3,28,Together,0.1,0.015848931924611127,0,0.3760461709998708
3,29,Together,0.1,0.01995262314968879,1,0.5368821009997191
3,30,Together_null,0.1,0.06309573444801932,1,0.3688732799992067
3,31,Together,0.1,0.015848931924611127,1,0.41379581799992593
3,32,Together_null,0.1,0.05011872336272722,1,0.45380245900014415
3,33,Together,0.1,0.012589254117941666,1,0.45121684999958234
3,34,Together,0.1,0.009999999999999995,0,0.5073002589997486
3,35,Together_null,0.1,0.03981071705534971,1,0.5147850619996461
3,36,Together,0.1,0.012589254117941666,1,0.5050044820000039
3,37,Together,0.1,0.009999999999999995,1,0.37691606000043976
3,38,Together,0.1,0.00794328234724281,1,0.3532372559993746
3,39,Together,0.1,0.0063095734448019285,0,0.3692594200001622
